id,ancestor_list,origin_time,src,src_args,num_units,total_units,length,merit,gest_time,fitness,gen_born,update_born,update_deactivated,depth,hw_type,inst_set,sequence,cells,gest_offset,lineage
36208486,[36206337],199990,div:int,(none),1,1,99,190,192,0.989583,32102,199990,-1,4837,0,heads_default,ekjwjagchxalezucaykalueazjkxapbwaraxlkbByzscBjpapyecuAicycvobuyzpvdeayoAqjycvBliloerjuzvvvvvfcxvvga,['1347'],['166'],['0']
36210004,[36203008],199998,div:int,(none),1,1,98,0,0,0,32074,199998,-1,4829,0,heads_default,gcawjaAergcdjaaxcBrvfleqyczjavstdbpwypqoaBzmpayBecuhpcycjbuylqszcnzwjjanrsnwAmebpqnkuzvvvvvfcxvvga,['1364'],['114'],['0']
36204093,[36202864],199967,div:int,(none),2,4,96,186.667,198.333,0.94117,32071,199967,-1,4824,0,heads_default,oxzwjagctydyodozensrtujwdBqaoltxxmroymzhBzBypadxecuofwyccbuystndedjBqifcAcqAbulqybnzvvvvvfcxvvga,"['1372', '2495']","['49', '53']","['0', '0']"
36208992,[36206675],199992,div:int,(none),1,1,100,0,0,0,32096,199992,-1,4836,0,heads_default,pxtwjfgctieubzdzwAcriyojoykpbpmcqdaexxfAzpqBapakyecuAiqycvxduyopvqacymjkvmklvkbpluBtbumzvvvvvfcxvvga,['1377'],['298'],['0']
36203909,[36199793],199966,div:int,(none),1,3,124,190,238,0.798319,32061,199966,-1,4814,0,heads_default,irfwjagczypwssnAxjBfsnxxcnAhatoAdbecypdefBzjpayxecuAycycjfuywxbjkkypnnbcqnBmcnaeicszvvvvfcxvvgairfwjagkzypwssnAxjBfsnxxcnAha,['1429'],['130'],['0']
36208969,[36206559],199992,div:int,(none),1,1,114,224,238,0.941176,32092,199992,-1,4855,0,heads_default,AkmwjadubwjalBlwAagcruilqoqcyybcrlnbzhqxfAbeascajhAbiyzsqBxpadayecuAiycvbBuyzfvqcxbttacBvozlkcahenouuzvvvvvfcxvvga,['1468'],['74'],['0']
36207681,[36205598],199986,div:int,(none),1,1,100,0,0,0,32081,199986,-1,4829,0,heads_default,oexwjagclfuvzcnbtBblchnttabzaznzyrwavofcorbzujBpayhecuAxvyccauyvnBjxwcmwjierwqcoauncncjznvvvvfcxvvga,['1492'],['484'],['0']
36210579,[36207732],200000,div:int,(none),1,1,112,0,0,0,32072,200000,-1,4828,0,heads_default,iBmwjaABigctjralmBroiznqyyzktesArnymtplwaBzhpayxecuhacycjauyllsjcvflijscnccjmeaeqnzvzvvvvvfcxvvgaiBmwjaABigctjra,['1508'],['1'],['0']
36205289,[36195689],199973,div:int,(none),2,2,106,196,205,0.956098,32075,199973,-1,4843,0,heads_default,akawjagcltwAAdfdajBszxwmzzhkbbpbaqdacjdzbrzsmBkpayecubicycvaAuyibAddxbjfjoadlvvkkjyrupuzvvvvvfcxvvgamkpwja,"['1597', '2685']","['98', '53']","['0', '0']"
36207336,[36186632],199984,div:int,(none),1,1,96,190,194,0.979381,32073,199984,-1,4816,0,heads_default,faAwjagctydyouwtebycakrcynqakltblarkymziozBypaxxecufdwycAbuyslntpzAiqiicicmAbusqfzjzvvvvvfcxvvga,['1629'],['160'],['0']
